#HDR ms,ax,ay,az,mag,hp_abs,rms,label
405318,0.0603,-0.0193,1.0176,1.0195,0.0028,0.0042,CALM
405328,0.0625,-0.0203,1.0117,1.0138,0.0028,0.0043,CALM
405338,0.0583,-0.0217,1.0156,1.0175,0.0008,0.0043,CALM
405348,0.0596,-0.0193,1.0137,1.0156,0.0011,0.0042,CALM
405358,0.0605,-0.0188,1.0183,1.0203,0.0035,0.0042,CALM
405368,0.0549,-0.0176,1.0181,1.0197,0.0028,0.0042,CALM
405378,0.0583,-0.021,1.0056,1.0075,0.0091,0.0046,CALM
405388,0.0542,-0.0181,1.0183,1.0199,0.0032,0.0045,CALM
405398,0.0569,-0.0146,1.0173,1.019,0.0023,0.0045,CALM
405408,0.0552,-0.0195,1.0225,1.0241,0.0072,0.0047,CALM
405419,0.0591,-0.0188,1.0044,1.0063,0.0104,0.0049,CALM
405428,0.0586,-0.0198,1.0146,1.0165,0.0001,0.0049,CALM
405438,0.0596,-0.0166,1.0217,1.0236,0.0067,0.0049,CALM
405448,0.0591,-0.0208,1.0154,1.0173,0.0004,0.0049,CALM
405458,0.0601,-0.0203,1.0115,1.0135,0.0033,0.0049,CALM
405468,0.062,-0.0217,1.0212,1.0234,0.0064,0.0047,CALM
405478,0.0581,-0.0195,1.0103,1.0121,0.0047,0.0048,CALM
405488,0.0586,-0.0237,1.0144,1.0164,0.0004,0.0048,CALM
405498,0.0576,-0.0229,1.0144,1.0163,0.0005,0.0046,CALM
405508,0.0581,-0.021,1.0146,1.0165,0.0003,0.0046,CALM
405518,0.0557,-0.0229,1.0107,1.0125,0.0041,0.0046,CALM
405528,0.0596,-0.0195,1.0107,1.0127,0.0039,0.0045,CALM
405538,0.0552,-0.0188,1.0166,1.0183,0.0017,0.0045,CALM
405548,0.061,-0.0183,1.0115,1.0135,0.003,0.0045,CALM
405558,0.0554,-0.0227,1.0117,1.0135,0.0029,0.0043,CALM
405568,0.0605,-0.0166,1.0171,1.019,0.0025,0.0043,CALM
405578,0.0598,-0.0215,1.0144,1.0164,0.0001,0.0043,CALM
405588,0.0557,-0.0259,1.0171,1.0189,0.0024,0.0043,CALM
405598,0.0583,-0.0229,1.011,1.0129,0.0035,0.0044,CALM
405608,0.0552,-0.0251,1.0159,1.0177,0.0012,0.0043,CALM
405618,0.0596,-0.0251,1.0171,1.0191,0.0026,0.0043,CALM
405628,0.0598,-0.019,1.0151,1.0171,0.0005,0.0039,CALM
405638,0.0623,-0.0166,1.0127,1.0147,0.0018,0.0039,CALM
405648,0.0613,-0.0208,1.0132,1.0152,0.0012,0.0038,CALM
405658,0.0632,-0.0222,1.0139,1.0161,0.0003,0.0036,CALM
405668,0.0579,-0.0181,1.0151,1.0169,0.0005,0.0029,CALM
405678,0.0596,-0.02,1.0132,1.0151,0.0013,0.0029,CALM
405688,0.0615,-0.019,1.0107,1.0128,0.0035,0.0027,CALM
